video_id,title,description,channel,query_used,label
iJlfBNyBKQA,Insects | Educational Videos for Kids,VITAL FUNCTIONS https://youtu.be/SKy_C2cr63M PREMIERES!,Happy Learning English,kids educational videos,
0GAhHaK4y58,Blippi Meets TALKING PLANETS! | Blippi Wonders | Educational Cartoons for Kids,"Three, two, one, blast off! The Blippi-Mobile becomes a spacecraft on this mission to find out which planets are in the solar system!",Blippi Wonders - Educational Cartoons for Kids,kids educational videos,
T9ViFtzplf8,"ABC Song, Counting Numbers &amp; Learn Colors For Kids + More Educational Videos For Toddlers","Teach ABCs, Numbers, Colors, Tracing Alphabets to Phonics. Get ready to listen to our compiled ABCD songs, counting ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
pU8IWLmRdNM,Kindergarten Learning Videos | Phonics for Kids | @officialalphablocks​,Subscribe for more Alphablocks Content: https://www.youtube.com/c/officialalphablocks?sub_confirmation=1 Official website; ...,Alphablocks,kids educational videos,
H-9eydT066s,"Learning Videos For Toddlers | Learn ABC&#39;s, Colors, Numbers, Shapes, Months Of The Year &amp; More","Grab the kids, it's time to learn! ✏️ This amazing sing-along educational compilation video teaches everything from the abc ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
hOHrqPI9bVk,"Learn Numbers, Colors, Counting and Shapes with Ms Rachel | Learning Videos for Toddlers in English","Have your toddler learn with a real teacher, Miss Rachel! We have the best learning videos for toddlers because Miss Rachel and ...",Ms Rachel - Toddler Learning Videos,kids educational videos,
_Z0ZQT0FttM,Toddler Learning with Ms Rachel - Learn Zoo Animals - Kids Songs - Educational Videos for Toddlers,"Learn with a real teacher, Ms Rachel! In this toddler learning video, Ms Rachel packs in so much important learning for toddlers!",Ms Rachel - Toddler Learning Videos,kids educational videos,
K_Aq4H03Nm4,"Preschool &amp; Toddler Learning Video with Ms Rachel - Learn Shapes, Letters, Numbers, Colors &amp; More","This video is packed with preschool learning for your little one! Learn shapes, letters, numbers, colors, phonics, counting, kids ...",Ms Rachel - Toddler Learning Videos,kids educational videos,
GPn5Nl61PC8,Fruits Song | Learn Fruits for Kids | Nursery Rhymes &amp; Songs for Babies,"Welcome to Kids TV, where the warmth of childhood meets the joy of learning through fun nursery rhymes and toddler songs!",Kids TV - Nursery Rhymes And Baby Songs,kids educational videos,
COIw9e834Ag,Learn Food For Kids | Blippi And The Chocolate Factory | Educational Videos For Children,Blippi visits the chocolate factory and learns all about how chocolate is made! Join Blippi in this educational compilation for kids ...,Blippi Toys,kids educational videos,
fAoAV6nTrEs,Learn Colors For Kids | What Color Is It? | Educational Video For Babies &amp; Toddlers To Learn Colors,"Enjoy a fun and hilarious sing-along song all about colors made just for kids! Lucas, Ruby, and their adorable friends join in to ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
ozsgl_sLnHQ,Learn About Emotions and Feelings with Ms Rachel | Kids Videos | Preschool Learning Videos | Toddler,"Learn about emotions from a real teacher, Ms Rachel! This educational video for kids was written by Ms Rachel and a therapist ...",Ms Rachel - Toddler Learning Videos,kids educational videos,
ctQfCUY1CdA,"Meet the Animals 44 min | Shark, Alligator, Cheetah, Fox, Bear, Gorilla | Educational Videos",You can check out our stories on the Little Fox YouTube channel. SUBSCRIBE : https://url.kr/wf97sk 00:00 Intro 00:05 Meet the ...,Little Fox - Kids Stories and Songs,kids educational videos,
XCvGItdfCl0,😡 Managing BIG Emotions with OmoBerry: Learning Videos on YouTube #socialemotionallearning,Ready. Set. Learn! Visit the OmoBerry channel on YouTube for more exciting learning videos on youtube and other educational ...,OmoBerry,kids educational videos,
3ZHYQ6f1BhU,Cavities - The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,"Almost everyone of us must have faced the issue of cavities at least some point of time in our life. Join us in this journey, as Dr.",Peekaboo Kidz,kids educational videos,
NrX9To4bjFk,Learn to Count with Max the Glow Train and Team | The Amazing Water Adventure,Max the Glow Train and his friends wash fruits and vegetables and then start counting them. Bubble the Robot is very interested in ...,coilbook™ | Learning For Children,kids educational videos,
YIDadG85pDo,"Toddler Learning Colors, ABC &amp; Kids Songs + Educational Videos For Toddlers With Lucas &amp; Friends","Babies & Toddlers join Lucas & Friends for an amazing adventure with over 30 baby songs, nursery rhymes, and fun educational ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
IVlU11CErHQ,"Baby Learning First Words, Kids Songs, Nursery Rhymes | Learn To Talk Videos For Babies &amp; Toddlers",A fun-filled learning adventure for babies and toddlers! Watch as Lucas & Friends make first words for babies and toddlers exciting ...,Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
0KW3Ef1mU-g,Children Educational Videos | Nursery Rhymes &amp; Baby Songs - Kids TV,"Welcome to Kids TV, where the warmth of childhood meets the joy of learning through fun nursery rhymes and toddler songs!",Kids TV - Nursery Rhymes And Baby Songs,kids educational videos,
NUMz00m8ySk,Parts of Body | Body Parts Name | Learning videos for kids | First words for babies | English vocab,Parts of Body | Body Parts Name | Learning videos for kids | First words for babies | English vocabulary #bodyparts ...,Twinkle stories - Making Kids Smarter ,kids educational videos,
hxOApe1P9dM,Humpty Dumpty Grocery Store | CoComelon Nursery Rhymes &amp; Kids Songs,Look at Humpty Dumpty bounce and roll! Nina goes on an epic chase after losing her plastic toy egg from the vending machine in ...,Cocomelon - Nursery Rhymes,children cartoon episodes,
GzU9xWnZ7hg,Wheels on the Car Broke Down! Nursery Rhymes Children Songs Koka TV #childrensongs #toddlersongs,https://www.youtube.com/channel/UCOQkBQnCF49tFvBuiBDOaiA?sub_confirmation=1 #nurseryrhymes #kidssongs #babysongs ...,Koka TV Nursery Rhymes,children cartoon episodes,
TPvTK-S_VR4,Cardboard World | Learn Occupations | Fun Adventure | Kids Cartoon | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
8g8GDLkdUeY,Pororo English Episodes | Ep4. Happy Trip with Friends  | Kids Cartoons &amp; Animation,Subscribe for more videos for kids: https://www.youtube.com/channel/UCAmia3u27mHY-Y6c-lwakAQ?sub_confirmation=1,Pororo the Little Penguin,children cartoon episodes,
akIrVWm0v48,Ten Little Babies Boo Boo Song | Take Care of Babies | Nursery Rhyme &amp; Kids Song | BabyBus,"Let's take care of ten little babies and learn how to care for our families! Lyrics: Oh oh oh oh oh oh One little, two little, three little ...",BabyBus - Kids Songs and Cartoons,children cartoon episodes,
WEwA0Een3wY,Kids Learn Good Habits | This is the Way | Nursery Rhymes &amp; Kids Songs | BabyBus,Yes! Neo Official Facebook: https://www.facebook.com/yesneoofficial Learn how to build good habits and follow daily routines with ...,BabyBus - Kids Songs and Cartoons,children cartoon episodes,
S6PTU9eBfVs,Sharing is Caring | Do You Like to Share with Me? | Nursery Rhymes &amp; Kids Songs | BabyBus,BabyBus Viewer Feedback Survey: https://forms.gle/AqmeRbBk6k4dARMt7 Sharing is caring! Neo and Zuzu learn to share and ...,BabyBus - Kids Songs and Cartoons,children cartoon episodes,
f_onIoBvCzk,Sweet or Healthy? What’s your pick? #mealtime #pinkfong,"You're watching ""Sweet or Healthy? What's your pick?"", an educational and interactive series prepared to you by Pinkfong!",Baby Shark - Pinkfong Kids’ Songs & Stories,children cartoon episodes,
4ZBs2VeMjM8,Baby Bear Pretends to Be a Doctor 🧸 Nursery Rhymes &amp; Kids Songs | Koka TV #toddlersongs #singalong,Subscribe For New Kids Songs Every Week ...,Koka TV Nursery Rhymes,children cartoon episodes,
PBhUilFcM1Q,Blippi Explores A Haunted House | Halloween for Kids | Blippi Wonders | Cartoons for Kids,Blippi finds out what's inside the haunted house in this brand new Halloween animated episode! Blippi searches for his friend ...,Blippi Wonders - Educational Cartoons for Kids,children cartoon episodes,
lA6ONFMTdwE,Walking Walking | Kids Learn Traffic Safety Rules | Nursery Rhymes &amp; Songs #shorts,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
oeAdpUrkPA0,Wheels on the bus +Baby Shark &amp; More Popular @CoComelon Animal Cartoons for Kids | Funny Cartoons,"Watch more @CoComelon! Welcome to the Animal Corner! where you can learn about all your favorite animals! Ducks, sheep ...",Moonbug Kids - Animals for Kids,children cartoon episodes,
g6CVApMxmqg,"Phonics, Counting, Colors + More Kids Learning Songs &amp; Nursery Rhymes | Gracie’s Corner Compilation","This fun and educational Gracie's Corner compilation video presents preschool concepts such as counting, color recognition, ...",Gracie's Corner,children cartoon episodes,
gvaqIheIDro,School Boat | 🌊 WaterCity Mystery | Police Cartoon | Safety Rules | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
r4MfjpBQCvQ,The Shark is Coming+More | Yummy Foods Family Collection | Best Cartoon for Kids,babybuscartoon #kidsanimation #kikimiumiu #cartoon #kidscartoon #kidsvideo #kidstv #babybus #babypanda Oh! The shark is ...,BabyBus TV - Kids Cartoon,children cartoon episodes,
Si5auXCYWDI,Masha and the Bear 2022 🎬 NEW EPISODE! 🎬 Best cartoon collection 🍰🍗 Something Yummy,NEW EPISODE ❄️ It's All on January (Episode 149) https://youtu.be/S2OMQBrkQ7M Masha and the Bear. All new ...,Masha and The Bear,children cartoon episodes,
b2sjCyAsFbM,Peter Rabbit - Camping by the Lake | Cartoons for Kids,"Subscribe For More Adventures: http://goo.gl/n6oFhZ Peter Rabbit is full of adventure and excitement, tapping into children's ...",Peter Rabbit,children cartoon episodes,
OIktUIEbbHA,Kipper Gets a Visitor | Kipper the Dog | Season 1 Full Episode | Kids Cartoon Show,SUBSCRIBE: http://bit.ly/FisherPriceSub About Fisher-Price: Let's spend a little less time growing up and a little more time growing ...,Fisher-Price®,children cartoon episodes,
QsoRCSnhsQo,Return Little Crocodile Home | Safety Tips | Cartoons for Kids | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
lfdvdPjf1kk,Let&#39;s Learns to Brush Teeth | Good Habits | Kids Cartoon | Sheriff Labrador | BabyBus,Subscribe for new videos every week! https://www.youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA?sub_confirmation=1 ...,BabyBus - Kids Songs and Cartoons,children cartoon episodes,
KaNVOiahR1w,Fruit lollipop | Nursery Rhymes &amp; Children Songs | Koka TV #childrensongs  #toddlersongs,Subscribe For New Kids Songs Every Week ...,Koka TV Nursery Rhymes,children cartoon episodes,
YieSL-wpnLM,Peppa Pig Full Episodes | Pottery | Cartoons for Children,More Peppa Pig Episodes: https://www.youtube.com/playlist?list=PLFEgnf4tmQe_L3xlmtFwX8Qm5czqwCcVi #Peppa #PeppaPig ...,George Pig - Official Channel,children cartoon episodes,
ayKCzl5xRh4,🦖🦕 Your friend Tyrannosaurus Rex + More! | Dinosaur Cartoon | Pinkfong Dinosaurs for Kids,Rawrrr!! Hello friends. It's Tyrannosaurus Rex! Let me introduce my friends to you. Follow me! You're watching 'My friend ...,Dinolings : Pinkfong Dinosaur for Kids,children cartoon episodes,
s-S7ILkIOxg,🚓 Police Car Songs! Heroes in Action! 🚨 #appmink #nurseryrhymes #kidssong #cartoon #kids,Join us as we celebrate the bravery and heroism of police officers while singing along to fun tunes   Subscribe to appMink for ...,appMink,children cartoon episodes,
83WgsAXAFDw,Take My Fish Friend Home | Fun Story | Safety  Rules for Kids | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
_0Qs19OZnIU,🔴LIVE | Dodo&#39;s Football Training | Good Habits | Useful Story | Kids Cartoon | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
wOsT8asqSOs,Strange Sound Underground | Police Cartoon | Cartoon for Kids | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
LMuBxwVy3HM,Peppa Pig Full Episodes | Pottery | Cartoons for Children,More Peppa Pig Episodes: https://www.youtube.com/playlist?list=PLFEgnf4tmQe_L3xlmtFwX8Qm5czqwCcVi #Peppa #PeppaPig ...,George Pig - Official Channel,children cartoon episodes,
CPtEov5PeLU,Mommy Is My Hero | Kids Cartoons and Nursery Rhymes,KidsCartoons #NurseryRhymes #SingAlongs (  ) Subscribe to Little Angel for New Videos ...,Kids Cartoons and Nursery Rhymes - Little Angel,children cartoon episodes,
IoJ1sbZ_IZc,Peter Rabbit - The Great Pumpkin Theft | Cartoons for Kids,Subscribe For More Adventures: http://goo.gl/n6oFhZ There is a huge pumpkin in Mr McGregor's garden and Peter and his friends ...,Peter Rabbit,children cartoon episodes,
aSLFDNmgeyQ,Let&#39;s Share the Pizza | Sharing is Caring | Good Manners | Nursery Rhymes &amp; Kids Songs | BabyBus,BabyBus Viewer Feedback Survey: https://forms.gle/AqmeRbBk6k4dARMt7 Sharing makes us happy! One for each of us!,BabyBus - Kids Songs and Cartoons,children cartoon episodes,
fKigjAnJrjg,The Magic Magnet | Funny Stories | Safety Rules for Kids | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
xfLYZeLV3go,The Egg&#39;s Adventure | Educational Cartoons for Kids | Police Rescue | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
T_aH__L2YsE,"Construction Trucks, Where Are You? | Excavator, Crane Truck | Nursery Rhyme &amp; Kids Songs | BabyBus","Construction trucks, where are you? We need your help. Let's learn about different construction trucks and their functions together!",BabyBus - Kids Songs and Cartoons,children cartoon episodes,
OzF-Up-VIKs,Loose Tooth Adventure | Cute Bear Song for Kids | Koka TV #childrensongs #toddlersongs #singalong,Loose Tooth Song – Funny Bear Adventure for Kids! Subscribe For New Kids Songs Every Week ...,Koka TV Nursery Rhymes,children cartoon episodes,
ypsdcy_IPkk,"Mosquito, Go Away! | Safety Rules | Useful Story | Sheriff Labrador | Kids Cartoon | BabyBus",BabyBus Viewer Feedback Survey: https://forms.gle/AqmeRbBk6k4dARMt7 Subscribe for new videos every week!,BabyBus - Kids Songs and Cartoons,children cartoon episodes,
FTHtY7AYnkI,Don&#39;t Wander Off Alone | Safety Rules for Kids | Kids Cartoon | Sheriff Labrador | BabyBus,Subscribe for new videos every week! https://www.youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA?sub_confirmation=1 ...,BabyBus - Kids Songs and Cartoons,children cartoon episodes,
6r3Eqtl3nDM,Colourful Math For Kids! | Numberblocks 1 Hour Compilation | 123 - Numbers Cartoon For Kids,"Numberblocks come in many different colours, but what would happen if they changed colours? Find out what happens when the ...",Numberblocks,children cartoon episodes,
8N0KG-1o1tw,"Excavator, Loader, Crane Truck | Construction Trucks | Nursery Rhymes &amp; Kids Songs | Yes! Neo","Interesting construction trucks song for kids. Excavator, loader, crane truck, dump truck and more! Lyrics: It has a long and ...",Yes! Neo – Kids Songs and Cartoons,children cartoon episodes,
iKJ7rnFRvrA,Sharing is Caring | Kids Learn How to Share | Good Habits | Police Cartoon | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
pkD3Q2bpsqs,Swap Day | Kid Pretends to Be an Adult | Fun Adventure | Kids Cartoon | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
H7AHWRLpHPk,Mysterious Vibration | 🌊 WaterCity Mystery | Kids Cartoon | Safety Rules | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
I1J7Y-8dG_Y,Paw Patrol - Ghost Time | Cartoons for Kids | WildBrain Wonder,SUBSCRIBE to WildBrain Wonder: https://www.youtube.com/channel/UC101W1POVf_3n2BDQ66QFwg?sub_confirmation=1 ...,WildBrain Learning Lab,children cartoon episodes,
8dghmIlmzBA,Video Call | Fun Story for Kids | Police Cartoon | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
dxG9cvaoJ4I,Stay Away from Dangerous Toys | Safety Rules | Sheriff Labrador | Kids Cartoon | BabyBus,Subscribe for new videos every week! https://www.youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA?sub_confirmation=1 ...,BabyBus - Kids Songs and Cartoons,children cartoon episodes,
IeOcpoT1Vto,Deep Sea Express | Fun Story for Kids | 🌊 WaterCity Mystery | Cartoon | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
JfpJShNKrUc,I Want to Be A Police Officer | 🌊 WaterCity Mystery | Kids Cartoon | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
XINWUP5deuk,Mobile Phone Jail Adventure | Kids Learn Good Habits  | Kids Cartoon | Sheriff Labrador,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
NgHmHiipn_A,"Daddy, Where Are You? | Useful Story | Kids Cartoon | Safety Rules | Sheriff Labrador",Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,children cartoon episodes,
ZdscQZBYYOY,Super Panda&#39;s Ocean Rescue Mission | Baby Shark | Super Rescue Team | Kids Cartoon | BabyBus,Super Panda's Ocean Rescue Mission - Let's go rescue the shark! Enjoy watching BabyBus songs and cartoons!,BabyBus - Kids Songs and Cartoons,children cartoon episodes,
e_04ZrNroTo,Wheels on the Bus | @CoComelon Nursery Rhymes &amp; Kids Songs,Bounce along in the bus all over town with this favorite nursery rhyme!,Cocomelon - Nursery Rhymes,nursery rhymes for toddlers,
5gZOYKHXwyQ,Nursery Rhymes for Kids | Songs Compilation - Itsy Bitsy Spider + More Children Songs,"Itsy Bitsy Spider and many more children songs! Enjoy this compilation of fun kids' songs and nursery rhymes for children, brought ...",Twinkle Little Songs - Nursery Rhymes,nursery rhymes for toddlers,
dkvvkaPzm7w,Phonics Song with Two Words + More ChuChu TV Nursery Rhymes &amp; Toddler Videos - Two Hours Collection,Help us hit 100M! Subscribe now - https://www.youtube.com/ChuChuTV?sub_confirmation=1 Get the cute Baby Taku's Toy Bestie ...,ChuChu TV Nursery Rhymes & Kids Songs,nursery rhymes for toddlers,
