video_id,title,description,tags,channel,query_used,label,trust_level
TSMhgU9gT8M,Fast Delivery Man+More | Rescue Team Collection | Best Cartoons for Kids,babybuscartoon #kidsanimation #kikimiumiu #cartoon #kidscartoon #kidsvideo #kidstv #babybus #babypanda 00:00 Fast ...,,BabyBus TV - Kids Cartoon,kids fast cartoon compilation,Overstimulating,manually_labeled
93-MIdrRpkM,Our Family Photoshoot GONE WRONG!!!🙈 #shorts,"#shorts   

Our Family Photoshoot GONE WRONG!!!🙈       

Welcome to the CHAMILY!!!

And don’t forget to subscribe!!!

This channel and most of its videos are made for a General Audience and not “directed to children” within the meaning of Title 16 C.F.R. §312.2, and are not intended specifically for children under 13 years of age. This channel and its owner(s), agents, representatives and employees (collectively referred to as “Channel”) does not collect any information from children under 13 ye",We Fell In The Dirty Water!!!😭 dad dad life dad shorts fatherhood daddy daddy's boy dad and son son baby boy water dirty dirty water the can family Chamily Shorts Family shorts Family friendly family vlogs family vloggers Cristal Allure Neo Valdes Niko valdes Abella Valdes falling reaction parenting parents funny fail epic fail father son shorts son shorts floor pond lake river ocean Our Family Photoshoot GONE WRONG fell family photoshoot photoshoot,The CAN Family,handpicked_neutral,Neutral,handpicked
IwRf4wh0iGs,Slow Motion Water vs Balloon 🎈 #shorts #experiment #youtubeshorts #shortvideo #short1,Slow Motion Water vs Balloon 🎈 #shorts #experiment #youtubeshorts #shortvideo #short1,shorts video YouTube short video experiment short video balloon 🎈 trick,Mr ARPIT TEAM ,handpicked_neutral,Neutral,handpicked
EqEW0xpePGc,Baa Baa Black Sheep + More Nursery Rhymes | 26 Mins Non-Stop Compilation | Pop Babies,"Get your friends singing and dancing with this new collection of Pop Babies nursery rhymes! Learn, sing and dance with Jordan, ...",,Pop Babies,nursery rhymes for toddlers,Neutral,auto_labeled
OBAdyla05oY,The Most Beautiful River Flowing View | The Most Beautiful River Flowing Seen in the World,"#Shorts
#Viralshorts
#Eternalnature",,Eternal Nature,handpicked_neutral,Neutral,handpicked
jo0Yo08US14,Sport race cars Kinder surprise eggs unboxing - Huevos Sorpresa машина детей,My videos: https://www.youtube.com/channel/UCrNOWNqQi3xVFZsARzuoz2Q/videos This video - Sport race cars Kinder surprise ...,,Fun for kids,surprise eggs unboxing kids,Overstimulating,manually_labeled
OEbRDtCAFdU,Shapes song for kids | The Singing Walrus,"Subscribe to our website for $3.99 USD monthly / $39.99 USD yearly! Watch all of our videos ad free, plus weekly printables and more: 
https://www.thesingingwalrus.com/

We are excited to present our Shape Song, a groovy and interactive song for kids that introduces four 2D shapes: circle, triangle, square, and rectangle. 

In each verse, a shape describes itself and asks the kids to guess what they are. As they introduce themselves, they turn into objects that resemble their shape, to show how ",shapes song singing walrus the singing walrus shapes shapes singing walrus singing walrus shapes 2d shapes songs for kindergarten 2 d shapes 2d shapes song shape song for kids shapes songs for kindergarten 2d shapes 2d shape song shapes for preschoolers shapes for kids the shape song preschool shapes shapes song for kids shape songs shapes songs for children learning shapes shapes songs shapes rhymes song for kids shapes shape song shapes song,The Singing Walrus - English Songs For Kids,handpicked_educational,Educational,handpicked
loINl3Ln6Ck,Days Of The Week Song | Kids Songs | Super Simple Songs,"Get the Super Simple App! ► http://bit.ly/TheSuperSimpleApp 
🎤😮 Learn the days of the week! 

PARENTS AND TEACHERS: Thank you so much for watching Super Simple Songs with your families and/or students. Here are some other places to find great Super Simple content:
► SUPER SIMPLE APP -- http://bit.ly/TheSuperSimpleApp Be the first to watch new Super Simple videos in the Super Simple App! Ad-free and designed for young learners.
► YOUTUBE KIDS -- http://bit.ly/You-Tube-Kids Designed to make it saf",days song days of the week song Learn days tuesday nursery rhyme wednesday kids song Super Simple Songs friday sunday monday nursery days of the week thursday saturday rhymes ECE super simple youtube kids circle time storybooks parents fun for kids for kids super simple learning children's music songs for school classroom songs fun and learning fun activities for kids noodle and pals,Super Simple Songs - Kids Songs,handpicked_educational,Educational,handpicked
CEOcsfGPQqg,Five Finger Breathing | Fun Exercise for Kids to Improve Concentration | Yoga Guppy by Rashmi Ramesh,"YOGA GUPPY – Kids Yoga, Stories, Songs & Mindful Movement Welcome to Yoga Guppy — a magical world where kids learn ...",,Yoga Guppy,kids yoga and exercise,Educational,auto_labeled
Aabbe59kZi0,Battle of the Bands Ultimate Showdown  | Learn to Read and Spell for Kids | Alphablocks,"Alphablocks A and B are ready to get the bands back together for their ultimate battle of the bands! Enjoy this pop rock musical special as we gather the greatest musicians in Alphaland.

#alphablocks #spellingforkids #readingforkids #phoneticsforkids #phonics #phonetics #awesomealphabet #alphabet #compilation #battleofthebands #band #songsforkids

Subscribe for more Alphablocks Content: https://www.youtube.com/c/officialalphablocks?sub_confirmation=1

Official website;
https://www.learningblock",alphablocks alpha blocks learn to read learn to spell phonics for kids cartoons for kids kids cartoons letter sounds alphabet learn english reading kids learning videos learn the alphabet writing for preschool writing for kindergarten spelling for preschool spelling for kindergarten reading for preschool reading for kindergarten a to z abcde abcdefghijklmnopqrstuvwxyz,Alphablocks,handpicked_educational,Educational,handpicked
