video_id,title,channel,label,query_used,youtube_url
tisxrc_6zbE,Chris collects toys for his gaming room,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=tisxrc_6zbE
Ov-KDfyUR0A,Vlad and Niki build a construction kit,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=Ov-KDfyUR0A
hNFppd7L0Bg,OMG CAPCUT HAS SMOOTH VELOCITY 😮!?! || never have i ever #shorts,aedevii,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=hNFppd7L0Bg
geyzFEhOu_s,Rich Princess Treats the Prince 👑,✿ Kids Diana Show,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=geyzFEhOu_s
eg2mr1IticM,EASTER EGG ASMR! 🐣💚🩷🩵 #asmr #asmrsounds #relaxing #satisfying #trend #fun,David Beck,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=eg2mr1IticM
zdQfvoKNLhE,Oh! Hero Piggy Saved the Little Lamb! 🐷🦸‍♂️ #Shorts #HeroStory #AnimalFun,Little Baby Bum - Nursery Rhymes & Kids Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=zdQfvoKNLhE
UvVKtqlxJq8,Try NOT To Laugh: Silly Jokes For Kids PART 2!,RadKidz TV,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=UvVKtqlxJq8
mDzIA3VUFKI,Lunar New Year Dance 💃👯🏮 Talking Tom #Shorts,Talking Tom,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=mDzIA3VUFKI
9h8RmsptqaI,New Chicken Dance #shorts  by The Learning Station #kidsvideo #childrenssongs #toddlersongs,TheLearningStation - Kids Songs and Nursery Rhymes,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=9h8RmsptqaI
R0vgSne0jE8,Shapes are EVERYWHERE #shorts,Baby Shark Classroom - Learning for Kids,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=R0vgSne0jE8
KyBYuEgvFl0,Baby Car | Car Songs | Pinkfong Songs for Children,Baby Shark - Pinkfong Kids’ Songs & Stories,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=KyBYuEgvFl0
MvXOhpSuTx4,Shoo Be Doo Birthday🥳🎈#birthday #birthdaycelebration #birthdaycake #birthdaydance #birthdayparty,Mother Goose Club,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=MvXOhpSuTx4
hV5eWushhbQ,3 Skeletons Were Riding On A Bus - Crazy Skeletons #shorts #teeheetown #halloweensongs,HooplaKidz - Official Nursery Rhymes Channel,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=hV5eWushhbQ
AS2gsXyn4ts,A Cute Zombie's Message Just for You! 💫#shorts #funny #zombie #trendingshorts #allbabieschannel,HooplaKidz - Official Nursery Rhymes Channel,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=AS2gsXyn4ts
49df3lEIYyg,Baby Got a Boo Boo | Nursery Rhymes & Kids Songs | BabyBus #shorts,BabyBus - Kids Songs and Cartoons,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=49df3lEIYyg
QK_4HL1vK0o,Escaping 100 Layers of CANDY Challenge!!,Vlad,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=QK_4HL1vK0o
MG10BPnR53k,Who Is Eating Sugar Secretly? 🍬🤫 #Shorts #KidsStory #FunLearning,Little Baby Bum - Nursery Rhymes & Kids Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=MG10BPnR53k
cixocSycC3A,So Satisfying 😳,Brandon B,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=cixocSycC3A
10OJhIc_-vw,Minecraft Speedrunner VS 6 Hunters REMATCH,Dream,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=10OJhIc_-vw
v3BCkHGnKT4,Andrea Becomes Superheroes to Save the Toys!,Toys and Colors,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=v3BCkHGnKT4
0LnhNC_wHY8,"Rain, Rain, Go Away Nursery Rhyme in 4K - ChuChu TV Kids Songs for Infants #ChuChuTV100M",ChuChu TV Nursery Rhymes & Kids Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=0LnhNC_wHY8
aJxxbI9HIRU,Baby Shark - Sing and Dance - Part4 #Shorts #ChuChuTV #NurseryRhymes #KidsSongs #ChuChuTV100M,ChuChu TV Nursery Rhymes & Kids Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=aJxxbI9HIRU
daL2STCfFHw,Building Our Family Island in Tomodachi Life: Living the Dream!,Ryan's World,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=daL2STCfFHw
I_4Xw57Lt-k,Kids Cars Adventures Compilation,✿ Kids Diana Show,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=I_4Xw57Lt-k
Rw3NxD-p8_U,"Possible 1x1x1x1?? recent ""hacking/exploit"" january 2014",TheSmootGurl,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=Rw3NxD-p8_U
PL7vHFGRViA,Satisfying with Unboxing & Review Miniature Fidget Board Toys Kitchen Video | ASMR Videos,namu rainbow toys,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=PL7vHFGRViA
qJIYkbAgR8c,Yes Yes Vegetables | 🥕 The Hungry Easter Bunny! 🐰 | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=qJIYkbAgR8c
Kx241A5WsDI,Blippi & Yellowcard GO GO GO on a World Tour 🎸,Blippi - Educational Videos for Kids,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=Kx241A5WsDI
yeVTvh9HU8s,Blippi Meets Dr. Ted the Puppy at the Hospital 🐶,Blippi - Educational Videos for Kids,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=yeVTvh9HU8s
viurF6fz9Xg,"$1 VS $1,000,000 99 NIGHTS IN THE FOREST BASE",Ryan's World,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=viurF6fz9Xg
YSA2f19ABPk,Chris and friends in Magic Escape Adventures for kids,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=YSA2f19ABPk
4HGwX5b44Yc,Superheroes Teamwork Adventures for kids,Vlad and Niki,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=4HGwX5b44Yc
fhPaQwEoGGM,Kids Trapped in Minecraft!,✿ Kids Diana Show,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=fhPaQwEoGGM
_Dwbf5WjjJA,IMPOSTERS are PRANKING US! FULL MOVIE!,Ninja Kidz TV,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=_Dwbf5WjjJA
zZz91aicTuU,Power Rangers Ninja Kidz Battle with Healthbars!,Ninja Kidz TV,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=zZz91aicTuU
zugFjQ8tN3E,Eva Emma & Kaden Playground Germs! Let’s Clean Together,Toys and Colors,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=zugFjQ8tN3E
2bUTxSPyCzo,Hide and Seek in One Color with Oliver and Friends,Diana and Roma World,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=2bUTxSPyCzo
zHT2nY-Gq1I,Kids Learn About All Their Feelings at the Emotion Doors!,Diana and Roma World,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=zHT2nY-Gq1I
rbVkRDOjMa8,Sunny Bunnies | Shiny Bright Bunny | COMPILATION | Videos For Kids,WildBrain Zoo,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=rbVkRDOjMa8
fTYhA_j6cUw,Water Safety Song | Run Away from Sharks | Super Safeguard Sammy | Pinkfong Official,Baby Shark - Pinkfong Kids’ Songs & Stories,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=fTYhA_j6cUw
JhH-_QXzQ3o,Baby Seal: Not Home Alone (Full Episodes) | SEALOOK Compilation,SEALOOK Official,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=JhH-_QXzQ3o
0j_AbvBOWZw,More Baby Seals for You (Part3)  | SEALOOK Compilation,SEALOOK Official,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=0j_AbvBOWZw
pr5U8x-kCMM,LARVA - RAINING | Larva 2017 | Cartoons | Comics | Larva Cartoon | LARVA Official,Larva TUBA,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=pr5U8x-kCMM
MfIwF6QoRm4,Police Officer Visits Doctors | Boo Boo Song & More Hospital Play | Pinkfong Official,Baby Shark - Pinkfong Kids’ Songs & Stories,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=MfIwF6QoRm4
6VQip5MI5d8,Johny Johny Yes Papa + Wheels On The Bus + Baby Shark + A Ram Sam Sam | Learn Colors Songs,LooLoo Kids - Nursery Rhymes and Children's Songs,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=6VQip5MI5d8
-gajDGMq7Lg,When a girl gets you angry 😂 #roblox #tsb #shorts @dbloxontop,Cheesymembey,Overstimulating,handpicked_overstimulating,https://www.youtube.com/watch?v=-gajDGMq7Lg
